projectid,is_exciting,at_least_1_teacher_referred_donor,fully_funded,at_least_1_green_donation,great_chat,three_or_more_non_teacher_referred_donors,one_non_teacher_referred_donor_giving_100_plus,donation_from_thoughtful_donor,great_messages_proportion,teacher_referred_count,non_teacher_referred_count
fffeebf4827d745aa36b17c2d38d1966,f,f,t,f,f,f,t,f,0.0,0.0,1.0
ffee4efb4db0b610725400c20855a696,f,t,t,t,f,f,t,f,50.0,2.0,2.0
ffe60a89f8a3abc7018eb250b40455b3,f,f,t,f,f,f,t,f,0.0,0.0,1.0
ffd6296694788831f1f040431b598269,f,f,t,t,f,t,t,t,50.0,0.0,5.0
ffbc4d33bfad0fcde0116df7a97bff4c,f,t,t,t,f,f,t,f,33.0,1.0,2.0
ffb545009a50beb82ee41f92b517ffd2,f,f,t,f,f,f,t,f,0.0,0.0,1.0
ffa18cfeaf9c1758e83e0b9738595fb8,f,f,t,t,t,t,t,f,83.0,0.0,8.0
ff93822f0947d9efaf4434af99c762f1,f,f,f,t,t,t,t,f,62.0,0.0,9.0
ff7b23de824d01e1f4e2d4d2908148dd,f,f,t,t,f,t,t,f,0.0,0.0,4.0
ff6f8918a735ff4cb95ec81e2970c8bb,f,,f,,f,,,,,,
ff6b8f8427a3f2e049e4a93481f559ef,f,f,t,f,t,f,t,f,100.0,0.0,1.0
ff4cf2cd983c69438142655b5469673a,f,t,t,t,f,f,f,f,57.0,6.0,0.0
ff3353a4502a2a2e462086130b285640,f,f,f,t,f,f,f,f,,0.0,1.0
fef3ce802514f3b711a5589ae5770eb5,f,,f,,f,,,,,,
fef2bc13b764ec763dd4c5d560fb2c94,f,f,f,t,t,f,f,f,100.0,0.0,2.0
fee5be385192cbd79c3d71b317d604a1,t,t,t,t,t,t,f,f,72.0,4.0,37.0
fee4ca450b9d1844e32490e7c865e124,f,f,t,f,f,f,t,f,0.0,0.0,2.0
fedf5d4435546526514ee2ca96d5b83e,f,f,t,t,f,f,f,f,50.0,0.0,2.0
fed0f7c26aabd2d03d026f3dc2df136f,f,,f,,f,,,,,,
fe82c9e253d4bcce8cb02b7b9a47e93b,f,f,t,t,f,t,f,f,40.0,0.0,5.0
fe67576c10bcfc10336e8a0947f8a98f,f,t,t,t,f,f,f,f,50.0,1.0,1.0
fe61392d3e1c41362178105a3229ee2b,f,f,t,t,f,t,t,f,33.0,0.0,3.0
fe44c0d76511f318db90ef2952496652,t,t,t,t,t,t,f,f,71.0,1.0,6.0
fe3c9cf3169291aecb6eaf55dfdd15df,f,f,t,f,f,f,t,f,0.0,0.0,1.0
fe351a41310d559f2f9512413d978bbf,f,t,t,t,f,t,t,f,56.0,6.0,8.0
fe1ecda30e3464b913797527eff6350c,f,f,t,t,f,t,f,f,33.0,0.0,6.0
fdeddb27a2db1c541e5169d50b3b50fc,f,,f,,f,,,,,,
fdb7818759b6709514cd15ef8b43f870,f,f,t,t,f,t,t,f,50.0,0.0,8.0
fdb6f4cb1ee92f2c3852f6ebfbf29f77,f,,f,,f,,,,,,
fd88e457cd131aff5976cbbc2f98760d,f,f,t,t,t,f,t,f,100.0,0.0,2.0
fd80c5dcddb2f8ef26fbe5d326dcc955,f,f,t,f,f,f,t,f,0.0,0.0,2.0
fd7b51c8b2a7db476206cf6ddc4a67da,t,t,t,t,t,t,t,f,83.0,1.0,5.0
fd7a630354622c9eb8dc89d4f5e392fb,f,f,f,t,t,f,f,f,100.0,0.0,1.0
fd7698ca95b62b4e01d8a0d114939651,f,f,t,t,f,t,t,f,50.0,0.0,3.0
fd35918cb2f5c624963b6dfb782dd056,t,t,t,t,t,t,f,f,62.0,4.0,5.0
fd29991876c45d1b6d00e59ef6dbeda2,f,f,t,f,f,t,t,f,50.0,0.0,6.0
fd14d56c83a14d3c4a778582364fdc71,f,f,t,t,t,t,f,f,66.0,0.0,3.0
fd124630b1825ad29e72fb7c8b737560,f,t,t,t,f,t,f,f,28.0,1.0,7.0
fd11cfa740e7c0ce2ee850e630528e2f,f,f,t,t,f,f,t,f,50.0,0.0,2.0
fcf2b0ac7cb23d40249a2887caf6b6b7,f,f,t,f,f,f,t,f,0.0,0.0,1.0
fccaa85b3b1a2956f07dc3248ead0a5a,t,t,t,t,t,t,f,f,100.0,2.0,8.0
fcc4ba7ae1bf282029a59c89b2b02af2,f,f,t,t,t,t,t,f,80.0,0.0,8.0
fcaed65d243e06d9b9392e9fe1705ec0,f,,f,,f,,,,,,
fca001f49b897a51dbc5a2d682eea177,f,t,t,t,f,t,t,f,25.0,1.0,4.0
fc8c0164365aecfd1a4e94b7329b4520,f,f,t,t,f,t,t,f,0.0,0.0,3.0
fc6788ee253f4566df568a98de99a67c,f,f,t,t,f,t,t,f,33.0,0.0,4.0
fc6777c600a426633e28e08f8931fdb1,f,,f,,f,,,,,,
fc471dc3ef8570804cf0010855c97a45,f,f,t,t,f,t,t,f,25.0,0.0,3.0
fc38a6d1c9d6e90a79c8f6370900537a,f,,f,,f,,,,,,
fc2f445f7133cfac71e23941fa24586b,f,f,f,t,t,t,t,f,100.0,0.0,7.0
fbfe94ebca4f0dbeeb9822b08716e79f,f,f,t,t,t,f,t,f,100.0,0.0,1.0
fbf47e3c24fd28a26162ebacdcd96f57,f,f,f,f,f,f,f,f,0.0,0.0,2.0
fbb202ca75f7d540ec43541436387ef6,f,t,t,t,f,f,t,f,0.0,2.0,2.0
fbade4717e7876f9e36733f1320456e9,f,f,t,t,f,t,t,f,50.0,0.0,3.0
fba4a2a1d5afc471be27f0b1bc4f31a8,f,t,t,t,f,f,t,f,0.0,2.0,1.0
fb95ee5365ee0f9ae12bd59d3ef7bb80,f,f,t,t,f,f,t,f,0.0,0.0,2.0
fb7c2286adc6a1ba0a00d9ab57f62de7,f,f,t,f,t,t,t,f,100.0,0.0,4.0
fb49eb61a654873985a61752e995042b,f,t,f,t,f,t,f,f,50.0,3.0,6.0
fb3c1ffa2eadae333f94a653f7ba8dbf,f,f,t,f,f,f,t,f,0.0,0.0,1.0
fb3677f22e68f59d0ff67963cee502b3,f,t,f,t,f,t,f,f,50.0,2.0,3.0
fb213f740a1d3b313f955c83c2cd0d2e,f,,f,,f,,,,,,
fb12fbc9fa7f7fafbc8eaba5081a8b55,f,f,t,f,f,f,t,f,0.0,0.0,1.0
fb11b3a482198dcaa51d36f2f65fcd7a,f,f,t,t,t,f,t,f,100.0,0.0,2.0
fb0d9c9d0cf92dffb3c640db0d2783c5,f,,f,,f,,,,,,
fb0c128e4ec6477f6b82d4c69ead3ed2,f,t,t,t,t,f,f,f,66.0,1.0,2.0
fb098860644298927652412df63e4d70,f,t,t,t,f,t,t,f,44.0,5.0,4.0
fad91666da5b7d8710d18299cf3aba67,f,f,t,t,f,t,t,f,57.0,0.0,9.0
fac70531d757676cbcdc88fb84172f40,f,f,t,f,f,t,f,f,33.0,0.0,3.0
fa8ba80ef90bb9301066f0850f8cddc6,f,f,t,f,f,f,t,f,0.0,0.0,1.0
fa7a7c7de6b96fb34f5a88b55d17a2d4,f,,f,,f,,,,,,
fa5967983bad32fa9c85d56e607eacc6,f,f,t,t,t,f,t,f,100.0,0.0,1.0
fa07ca898c475448bea9a9cbc9711dd3,f,f,t,f,f,f,t,f,50.0,0.0,2.0
f9eecfe4e0c314713485ac91cb0e9c88,f,f,t,t,f,t,t,f,37.0,0.0,7.0
f9e4947b2d7286260fda4fb1bc8a04a2,t,t,t,t,t,t,t,f,85.0,1.0,15.0
f9d43896462cffde65eb46d3f3a7871d,t,t,t,t,t,t,t,f,66.0,3.0,7.0
