projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted
b42c5c1f8c53c55ec1d6a2bbe9843626,c2b9a5e2c7ab3ce05b3ebde3cb0becb8,b6cc8bc4de5073dda6e1c0bd1ed277a7,530771001140,47.585087,-122.315331,Seattle,WA,98144,urban,Seattle School District 1,King,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,,,Supplies,high poverty,Grades 3-5,30.00,212.91,250.48,20,f,f,2013-12-31
b6f10a605790bfce32ab29bbc68a5ca3,2d4f3c7d217c228a5b8737ce6b78d2e1,01300126aeae0704c50c4a05a64b97d2,060004707393,37.727077,-121.432679,Tracy,CA,95376,suburban,Tracy Unified School District,San Joaquin,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Other,highest poverty,Grades 3-5,30.00,202.79,238.58,52,f,f,2013-12-30
d43d244807b559fcac9a8d5ca6b0662a,a949b87d44b36015e043caa506243f77,9f3f9f2c2da7edda5648ccd10554ed8c,170993000837,41.807654,-87.673257,Chicago,IL,60609,urban,Pershing Elem Network,Cook,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Visual Arts,Music & The Arts,Other,highest poverty,Grades PreK-2,30.00,575.55,677.12,31,f,f,2013-12-30
84b45a008692a0636203908269199416,0451a734a2b23874eca9bdb3b83b4beb,be3daf1595ccae173c56f288d5e25a85,"",39.845860,-104.686277,Denver,CO,80249,,Denver Public School Dist 1,Denver,t,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,30.00,332.24,390.87,25,f,f,2013-12-30
d280af4c449344fa225f3b95f3b265da,ce93a06cdd4b086b7b1b61a2974c49dd,482e25caf7cd1881fb2b92d14070cd45,130123000462,33.493513,-84.363897,Jonesboro,GA,30238,suburban,Clayton Co Public Schools,Clayton,f,f,f,f,f,f,Mrs.,f,f,Environmental Science,Math & Science,History & Geography,History & Civics,Technology,highest poverty,Grades 3-5,30.00,252.22,296.73,100,f,f,2013-12-30
25b45bb3472796f97e629255e4e58246,2223e5f3fcd24ff619928532947bc658,7e62b6027a937d99744062dee1b572b6,090432000009,41.136955,-73.556259,Stamford,CT,06903,urban,Stamford Public Schools,Fairfield,f,t,f,f,f,f,Ms.,f,f,Applied Sciences,Math & Science,Mathematics,Math & Science,Technology,high poverty,Grades 6-8,30.00,148.81,175.07,25,f,f,2013-12-30
3cb7072ebfbb70fcaaa92898d31c1452,e4449d662e57a08c4ebe5fc0d36938b9,e1d4d5308beca57593e70cdb1c61cc2d,540018000938,38.410267,-82.490780,Huntington,WV,25704,urban,Cabell Co School District,Cabell,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,30.00,235.96,277.60,21,f,f,2013-12-30
013586665b4c82ce3f88f19351823a4d,6d11aeec433f09a6d2a1909f592feade,f9f3b17b78ac0399cd2b77edae63ddd0,110003000133,38.950555,-77.077499,Washington,DC,20016,urban,Dc Public Schools,District Of Columbia,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,College & Career Prep,Applied Learning,Technology,highest poverty,Grades 9-12,30.00,901.84,1060.99,150,t,f,2013-12-27
2edafb5aa951b0d9a3b41ecf323ad1c0,26bc2f819351457c28a2ea6a09fb7c39,cc868fafb946e7f705abcaeb35235256,160180000310,47.814242,-116.888766,Rathdrum,ID,83858,rural,Lakeland Joint School Dist 272,Kootenai,f,f,f,f,f,f,Mrs.,f,f,Environmental Science,Math & Science,Health & Life Science,Math & Science,Other,high poverty,Grades 3-5,30.00,316.81,372.72,350,t,f,2013-12-27
8054112c1b85465898027db0643a0939,4ba98081f006941b3d879edfcf1090e9,60a54e69b3afaaff4bc42f77fad1146d,170993004956,41.889159,-87.704945,Chicago,IL,60612,urban,Garfield-humboldt Elem Network,Cook,f,t,t,t,f,f,Ms.,f,f,Literacy,Literacy & Language,Early Development,Applied Learning,Supplies,highest poverty,Grades PreK-2,30.00,201.45,237.00,25,f,f,2013-12-27
4a14933a26d6b45805e00160d9f5d454,cfaadeac8320cd6a72326dca8d9cae2d,3e35f4ba702f085c8e10438c7a9e4cdc,090231000430,41.783363,-72.534431,Manchester,CT,06042,,Manchester Public School Dist,Hartford,f,f,f,f,f,f,Mrs.,f,f,Visual Arts,Music & The Arts,,,Supplies,high poverty,Grades 3-5,30.00,286.13,336.62,350,f,f,2013-12-27
f8172a95e0e6f0bf26cd7e300dd2cb16,b145c3895efa5a5a0a8ae95e977a0062,84dd55ccc46b338aac22932d2b8fdeec,120144003742,28.490473,-81.285173,Orlando,FL,32822,suburban,Orange Co Public School Dist,Orange,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,30.00,376.20,442.59,7,f,f,2013-12-27
70c4789fff9879f8bd5b0afdf63ab568,8f0d4ceca43fd5536dff53c142e94bc1,da2e05073330bab8ddb8cc726c5be974,360008305783,40.821114,-73.951914,New York,NY,10031,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Special Needs,Special Needs,Technology,highest poverty,Grades PreK-2,30.00,440.75,518.53,12,f,f,2013-12-26
a33637834725f1faa249eea9adbeb53b,1bbcd793c190584ab4edd26ce76bed41,6a9813c16ac91610214e7102edfee398,060962001002,33.902604,-118.189643,Compton,CA,90221,urban,Compton Unified School Dist,Los Angeles,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,Applied Sciences,Math & Science,Supplies,highest poverty,Grades 6-8,30.00,390.45,459.35,200,t,f,2013-12-26
cfd64032b894c501d906fb2fc76a9b11,415ae66a0b8057bccf2d0ab639bd7176,a36a0744245259d50aa17fae31d033ea,120144004003,28.513934,-81.455593,Orlando,FL,32811,urban,Orange Co Public School Dist,Orange,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,ESL,Literacy & Language,Technology,highest poverty,Grades PreK-2,30.00,346.49,407.64,20,t,f,2013-12-26
2f97a4f2a981d660e2a6fc9c96133549,3b02747f5bf7bb1dc69d86555255bb8e,ec59847197149b7ba59bdf89da4b6947,"",42.927391,-85.651268,Grand Rapids,MI,49507,urban,Michigan Dept of Education,Kent,t,f,f,f,f,f,Ms.,f,f,Applied Sciences,Math & Science,Environmental Science,Math & Science,Supplies,highest poverty,Grades 3-5,30.00,385.20,453.18,35,t,f,2013-12-26
17bb2ad3c5f4abec5f361f6ac7a6bcbf,5944ab3f26db05ccb6189a3ce834979f,3eeff011ef3c43c31789b01c37bfd3a0,"",38.924175,-76.995567,Washington,DC,20017,urban,[State run],District Of Columbia,t,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Technology,highest poverty,Grades PreK-2,30.00,167.63,197.21,47,f,f,2013-12-26
66fc831d955f8911a0441b4991f64d89,0b0f567cc75f916ff07de5851b5485ee,d0e19916cfba5ba6679323e5421d5117,251323002211,42.268918,-71.806973,Worcester,MA,01609,urban,Worcester Public School Dist,Worcester,f,f,f,f,f,f,Mr.,f,f,Music,Music & The Arts,Character Education,Applied Learning,Technology,highest poverty,Grades 3-5,30.00,894.52,1052.38,600,f,f,2013-12-24
70e0a42c2b1283d342158f79c67d1ca7,7d80e0de952c422e9bf405a3dcc8e4ca,4b86c775d7b737e1c72d5bfd2a4bb95f,240033000647,39.427410,-77.460690,Frederick,MD,21702,urban,Frederick Co Public Sch Dist,Frederick,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,Other,Applied Learning,Supplies,highest poverty,Grades 3-5,30.00,982.24,1155.58,12,f,f,2013-12-24
336382fd88d7c82c095bd4f20cefc627,ed5e39903bba893d026cea9877843ec9,2d69d5540ddf1e83eab7fdc311a2e344,170993001055,41.942879,-87.768887,Chicago,IL,60634,urban,O'hare Elementary Network,Cook,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,Visual Arts,Music & The Arts,Supplies,highest poverty,Grades 6-8,30.00,929.01,1092.95,80,f,f,2013-12-23
89db8cf4659ca2dce92e3e1e9f33438d,5665ac82da103fa01770cf2adcc6b020,369ebec42aceb470a9dda6ca7f9a467c,320006000741,36.260935,-115.091626,N Las Vegas,NV,89081,rural,Clark Co School District,Clark,f,f,f,f,f,f,Ms.,t,f,College & Career Prep,Applied Learning,,,Technology,high poverty,Grades 3-5,30.00,248.69,292.58,25,t,f,2013-12-22
0c4b04e7b71f3939b740e96f5444e9bf,30d6e19b94a585817d4f4a82581cb904,14b5c36437da49c6dcfe019adbfad5d1,340474000392,40.902955,-73.963715,Englewood,NJ,07631,suburban,Englewood Public Sch District,Bergen,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,Environmental Science,Math & Science,Technology,high poverty,Grades PreK-2,30.00,431.14,507.22,18,f,f,2013-12-22
3a94412666aef8342d06e798603b7627,5d0071982e323aa36375aba6ec283929,07a78f855407d99dc2c878f5670799f1,063441005605,37.718807,-122.407024,San Francisco,CA,94134,urban,San Francisco Unified Sch Dist,San Francisco,f,f,f,f,f,f,Ms.,f,f,Nutrition,Health & Sports,Literacy,Literacy & Language,Other,highest poverty,Grades PreK-2,30.00,318.22,374.38,18,f,f,2013-12-22
