resourceid,projectid,vendorid,vendor_name,project_resource_type,item_name,item_number,item_unit_price,item_quantity
583e139f6c16a3c05b84fa3c69dd3a1d,def2b9f3f3ef6def6d54cfd2bd54cec7,82,Best Buy for Business,Supplies,HP Color LaserJet Pro CP1525nw - printer - color - laser,BB11148714,299.99,1
267b2d0a534e0faf78d4704f15b88f97,def2b9f3f3ef6def6d54cfd2bd54cec7,82,Best Buy for Business,Supplies,HP 128A - print cartridge,BB11132332,66.99,1
806dd0302191949c8e17bc0b91047f40,def2b9f3f3ef6def6d54cfd2bd54cec7,82,Best Buy for Business,Supplies,HP 128A - print cartridge,BB11132334,69.99,1
26cc5a586b48b574e9bcfe59bbef0d19,def2b9f3f3ef6def6d54cfd2bd54cec7,82,Best Buy for Business,Supplies,HP 128A - print cartridge,BB11132647,66.99,1
5a6810ceb1498377cd7fbfc58ffd555e,def2b9f3f3ef6def6d54cfd2bd54cec7,82,Best Buy for Business,Supplies,HP 128A - print cartridge,BB11132333,66.99,1
dcc9a9efe1ddcaf4215e9021c6f75e7e,deecdd4738cc4f86156fdc8d56e1ef16,27,Amazon,Supplies,"Sandusky 400 Series Black Steel Lateral File Cabinet with Plastic Handle, 30"" Width x 27-1/4"" Height x 18"" Depth, 2 Drawers",B004ANQNRC,338.23,1
0e60b4229439ae5c0fadd5759d2a0512,deecdd4738cc4f86156fdc8d56e1ef16,27,Amazon,Supplies,Kleenex Ultra Facial Tissue (24 Boxes),B00G1L4D6O,69.99,1
53169eb78a39d27b15e09095d6952a67,deecdd4738cc4f86156fdc8d56e1ef16,27,Amazon,Supplies,Basic Paper Towels 6 Select-A-Size Big Rolls,B00AV5K7TI,18.2,5
c9fc2e009deff24df87ce76f6111bb95,deecdd4738cc4f86156fdc8d56e1ef16,757,Teachers' School Supply,Supplies,Portfolio Mailbox - 30,4130JC,232,1
900835aef071907ff33d81fc54862cbd,deecdd4738cc4f86156fdc8d56e1ef16,27,Amazon,Supplies,"Lysol Disinfecting Wipes, Lemon and Lime Blossom (9 Packs)",B00G2J79T8,46.5,1
c870cd75223fd0c1b2deacf7f86a73c0,deec7760d440ce46e81496f8ded80ed8,775,Frey Scientific,Supplies,FETAL PIG PLAIN 5''- 7'' VAC PK/10,596769,41.36,3
a6d75471cc4d41761597bdc89a4489f8,deb0a7b77f253b11847c3abd23897d3d,7,AKJ Books,Books,Wordly Wise Book 8,9780838876084,12.4,3
